,result,table,_time,active_energy_Wh,active_power_W,reactive_energy_Varh
,,0,2022-03-02T09:04:00Z,32306.840938065525,153.92643221781054,-153230.37165208114
,,0,2022-03-02T21:12:00Z,33279.996815747574,19.872910334346503,-157434.44098867572
,,0,2022-03-03T09:20:00Z,33631.11263736264,230.6868131868132,-160004.6456043956
,,0,2022-03-30T04:24:00Z,42585.75,216.1875,-188654.07352941175
,,0,2022-03-30T16:32:00Z,43381.484268707485,37.285714285714285,-191400.30358991429
,,0,2022-03-31T04:40:00Z,43749.91964285714,82.16411564625851,-195317.9443027211
,,0,2022-03-31T16:48:00Z,45102.83418367347,61.048894557823125,-199555.44979591836
,,0,2022-04-01T04:56:00Z,45894.77796201459,164.8934867776898,-203643.08626401622
,,0,2022-04-01T17:04:00Z,47795.42644557823,48.27210884353741,-208438.66496598642
,,0,2022-04-02T05:12:00Z,48031.303864734306,39.203864734299515,-212515.49587830194
,,0,2022-04-09T07:04:00Z,6485.397695441812,156.63225957049485,-41189.110062813
,,0,2022-04-09T19:12:00Z,4063,0,-27207.199984301413
,,0,2022-04-10T07:20:00Z,4166.450204081633,26.978367346938775,-31630.899299719887
,,0,2022-04-10T19:28:00Z,4404,0,-36161.520519077196
,,0,2022-04-11T07:36:00Z,4416.448979591836,4.081632653061225,-40577.69044000578
,,0,2022-04-11T19:44:00Z,4476.7959183673465,2.3877551020408165,-45026.45147633522
,,0,2022-04-12T07:52:00Z,4933.050264550265,101.0361394557823,-42347.63860544218
,,0,2022-04-12T20:00:00Z,5561.938775510204,6.836734693877551,-44918.20360100562
,,0,2022-04-13T08:08:00Z,5877.813078168363,43.456483194572925,-48897.31948089134
,,0,2022-04-13T20:16:00Z,6147.918367346939,2.2244897959183674,-52821.8013413506
,,0,2022-04-14T08:24:00Z,7388.900510204082,173.50850340136057,-57085.39923469388
,,0,2022-04-14T20:32:00Z,8662.958333333334,41.270833333333336,-61522.80909863946
,,0,2022-04-15T08:40:00Z,9796.672058184977,158.28898899985523,-65867.05714104792
,,0,2022-04-15T20:48:00Z,10885.604166666666,25.270833333333336,-70245.17601136198
,,0,2022-04-16T08:56:00Z,11406.551020408162,87.93877551020408,-74459.46471088435
,,0,2022-04-16T21:04:00Z,12239.24319727891,19.670493197278912,-78791.89583333331
,,0,2022-04-17T09:12:00Z,12515.988095238095,58.79931972789116,-82945.2181122449
,,0,2022-04-17T21:20:00Z,13246.380527210886,44.137329931972786,-87127.6900510204
,,0,2022-04-18T09:28:00Z,13749.49149659864,46.04931972789116,-91136.62797619047
,,0,2022-04-18T21:36:00Z,14357.001275510203,47.20025510204081,-95195.43465320911
,,0,2022-04-19T09:44:00Z,15348.341836734695,112.70280612244896,-99342.88647959183
,,0,2022-04-19T21:52:00Z,16377.345238095237,146.81802721088437,-103534.87840136053
,,0,2022-04-20T10:00:00Z,17962.519132653062,162.0642006802721,-107999.55994897957
,,0,2022-04-20T22:08:00Z,18744.898384353743,29.446003401360546,-112448.12985779418
,,0,2022-04-21T10:16:00Z,20240.46726190476,168.0174319727891,-117062.14328231293
,,0,2022-04-21T22:24:00Z,21192.495748299323,33.294642857142854,-121543.62457482994
,,0,2022-04-22T10:32:00Z,22137.229058112607,74.96314589665654,-126084.67709690261
,,0,2022-04-22T22:40:00Z,22448.87755102041,26.428571428571427,-130476.14158163266
,,0,2022-04-23T10:48:00Z,23283.610119047622,61.88222789115646,-128295.5943877551
,,0,2022-04-23T22:56:00Z,23459,0,-132514.8259426111
,,0,2022-04-24T11:04:00Z,23591.023384353743,20.630527210884356,-136707.51403061225
,,0,2022-04-24T23:12:00Z,23712.122448979593,0,-140923.4200414918
,,0,2022-04-25T11:20:00Z,23888.46768707483,46.37670068027211,-145159.39583333334
,,0,2022-04-25T23:28:00Z,24281.516581632655,39.766581632653065,-149450.94727891157
,,0,2022-04-26T11:36:00Z,25831.980714285713,124.81926870748298,-154130.78208353108
,,0,2022-04-26T23:44:00Z,26163.875850340137,33.05612244897959,-150243.12514763352
,,0,2022-04-27T11:52:00Z,27075.499268912004,60.989069078140034,-154478.3671626853
,,0,2022-04-28T00:00:00Z,27345.758928571428,57.40178571428571,-158442.09183673473
,,0,2022-04-28T12:08:00Z,28422.03324829932,75.64372448979591,-153038.31352040815
,,0,2022-04-29T00:16:00Z,28739.45764582429,46.16124800984223,-156843.05158127082
,,0,2022-04-29T12:24:00Z,30115.8337585034,111.67346938775509,-160933.43721014494
,,0,2022-04-30T00:32:00Z,30586.777210884353,26.738945578231288,-164755.99076385875
,,0,2022-04-30T12:40:00Z,29772.19486394558,80.27428571428571,-163530.01943877552
,,0,2022-05-01T00:48:00Z,30164.93112244898,9.041666666666666,-176550.58035714284
,,0,2022-05-01T12:56:00Z,30413.066037414967,27.40045918367347,-180100.8976190476
,,0,2022-05-02T01:04:00Z,30584.108843537415,6.040816326530612,-183664.09098639453
,,0,2022-05-02T13:12:00Z,30946.979591836738,46.683673469387756,-187198.98805000723
,,0,2022-05-03T01:20:00Z,31678.957908163266,20.85246598639456,-201836.50276077093
,,0,2022-05-03T13:28:00Z,32588.045155677653,99.98212585034015,-205581.7482195186
,,0,2022-05-04T01:36:00Z,33175.68112244898,53.08248299319728,-209477.1977511004
,,0,2022-05-04T13:44:00Z,34475.80488161932,99.81395658263304,-213708.554739229
,,0,2022-05-05T01:52:00Z,35056.33882653061,65.93430272108843,-217614.08280612246
,,0,2022-05-05T14:00:00Z,36339.11025510204,76.15428571428572,-221756.7281972789
