,result,table,_time,active_energy_Wh,active_power_W,reactive_energy_Varh
,,0,2022-03-02T09:04:00Z,1615.3420469032762,7.696321610890527,-7661.518582604057
,,0,2022-03-02T21:12:00Z,1663.9998407873786,0.9936455167173252,-7871.722049433786
,,0,2022-03-03T09:20:00Z,1681.555631868132,11.53434065934066,-8000.23228021978
,,0,2022-03-30T04:24:00Z,2129.2875,10.809375,-9432.703676470588
,,0,2022-03-30T16:32:00Z,2169.074213435374,1.8642857142857143,-9570.015179495715
,,0,2022-03-31T04:40:00Z,2187.495982142857,4.108205782312925,-9765.897215136054
,,0,2022-03-31T16:48:00Z,2255.1417091836734,3.052444727891156,-9977.772489795918
,,0,2022-04-01T04:56:00Z,2294.7388981007293,8.24467433888449,-10182.154313200812
,,0,2022-04-01T17:04:00Z,2389.7713222789116,2.4136054421768707,-10421.933248299321
,,0,2022-04-02T05:12:00Z,2401.5651932367155,1.9601932367149757,-10625.774793915098
,,0,2022-04-09T07:04:00Z,324.2698847720906,7.831612978524743,-2059.45550314065
,,0,2022-04-09T19:12:00Z,203.15,0,-1360.3599992150707
,,0,2022-04-10T07:20:00Z,208.32251020408165,1.3489183673469387,-1581.5449649859943
,,0,2022-04-10T19:28:00Z,220.2,0,-1808.0760259538597
,,0,2022-04-11T07:36:00Z,220.8224489795918,0.20408163265306123,-2028.884522000289
,,0,2022-04-11T19:44:00Z,223.83979591836732,0.11938775510204083,-2251.322573816761
,,0,2022-04-12T07:52:00Z,246.65251322751323,5.051806972789115,-2117.381930272109
,,0,2022-04-12T20:00:00Z,308.9965986394558,0.3798185941043084,-2495.4557556114232
,,0,2022-04-13T08:08:00Z,326.5451710093535,2.4142490663651626,-2716.5177489384077
,,0,2022-04-13T20:16:00Z,341.55102040816325,0.1235827664399093,-2934.544518963922
,,0,2022-04-14T08:24:00Z,410.49447278911566,9.639361300075587,-3171.4110685941046
,,0,2022-04-14T20:32:00Z,481.275462962963,2.2928240740740744,-3417.9338388133033
,,0,2022-04-15T08:40:00Z,544.2595587880543,8.79383272221418,-3659.28095228044
,,0,2022-04-15T20:48:00Z,604.755787037037,1.4039351851851853,-3902.509778408999
,,0,2022-04-16T08:56:00Z,633.6972789115646,4.8854875283446715,-4136.636928382464
,,0,2022-04-16T21:04:00Z,679.9579554043839,1.0928051776266061,-4377.327546296296
,,0,2022-04-17T09:12:00Z,695.332671957672,3.2666288737717313,-4608.067672902494
,,0,2022-04-17T21:20:00Z,735.9100292894937,2.4520738851095993,-4840.427225056689
,,0,2022-04-18T09:28:00Z,763.8606386999245,2.558295540438398,-5063.145998677249
,,0,2022-04-18T21:36:00Z,797.611181972789,2.622236394557823,-5288.635258511617
,,0,2022-04-19T09:44:00Z,852.6856575963719,6.26126700680272,-5519.049248866213
,,0,2022-04-19T21:52:00Z,818.8672619047618,7.340901360544218,-5176.7439200680265
,,0,2022-04-20T10:00:00Z,898.1259566326531,8.103210034013605,-5399.977997448978
,,0,2022-04-20T22:08:00Z,937.2449192176871,1.4723001700680274,-5622.406492889709
,,0,2022-04-21T10:16:00Z,1012.023363095238,8.400871598639455,-5853.107164115647
,,0,2022-04-21T22:24:00Z,1059.6247874149662,1.6647321428571427,-6077.181228741497
,,0,2022-04-22T10:32:00Z,1106.8614529056304,3.748157294832827,-6304.233854845131
,,0,2022-04-22T22:40:00Z,1122.4438775510205,1.3214285714285714,-6523.807079081633
,,0,2022-04-23T10:48:00Z,1225.4531641604012,3.256959362692445,-6752.39970461869
,,0,2022-04-23T22:56:00Z,1234.6842105263158,0,-6974.464523295321
,,0,2022-04-24T11:04:00Z,1241.6328097028286,1.0858172216254924,-7195.132317400645
,,0,2022-04-24T23:12:00Z,1248.0064446831366,0,-7417.022107446937
,,0,2022-04-25T11:20:00Z,1257.2877730039384,2.440878983172216,-7639.968201754386
,,0,2022-04-25T23:28:00Z,1277.9745569280344,2.092977980665951,-7865.83933046903
,,0,2022-04-26T11:36:00Z,1359.577932330827,6.569435195130683,-8112.146425449005
,,0,2022-04-26T23:44:00Z,1453.5486583522297,1.836451247165533,-8346.84028597964
,,0,2022-04-27T11:52:00Z,1504.1944038284446,3.388281615452224,-8582.131509038072
,,0,2022-04-28T00:00:00Z,1519.2088293650793,3.188988095238095,-8802.338435374151
,,0,2022-04-28T12:08:00Z,1671.8843087234895,4.4496308523409365,-9002.253736494597
,,0,2022-04-29T00:16:00Z,1690.5563321073112,2.7153675299907194,-9226.061857721812
,,0,2022-04-29T12:24:00Z,1771.519632853141,6.569027611044417,-9466.67277706735
,,0,2022-04-30T00:32:00Z,1799.2221888755503,1.572879151660664,-9691.52886846228
,,0,2022-04-30T12:40:00Z,1751.305580232093,4.722016806722689,-9619.412908163265
,,0,2022-05-01T00:48:00Z,1675.829506802721,0.5023148148148148,-9808.365575396825
,,0,2022-05-01T12:56:00Z,1689.614779856387,1.5222477324263037,-10005.605423280424
,,0,2022-05-02T01:04:00Z,1699.1171579743009,0.3356009070294784,-10203.56061035525
,,0,2022-05-02T13:12:00Z,1719.2766439909299,2.5935374149659864,-10399.943780555957
,,0,2022-05-03T01:20:00Z,1667.313574113856,1.09749820981024,-10622.97382951426
,,0,2022-05-03T13:28:00Z,1715.1602713514555,5.262217150017903,-10820.09201155361
,,0,2022-05-04T01:36:00Z,1746.0884801288937,2.793814894378804,-11025.115671110549
,,0,2022-05-04T13:44:00Z,1814.5160464010169,5.253366135928054,-11247.818670485736
,,0,2022-05-05T01:52:00Z,1845.0704645542428,3.470226459004654,-11453.372779269603
