,result,table,_time,active_energy_Wh,Device_Name,_field,_measurement
,,0,2021-10-16T03:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T03:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T03:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T04:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T04:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T04:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T04:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T05:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T05:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T05:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T05:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T06:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T06:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T06:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T06:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T07:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T07:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T07:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T07:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T08:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T08:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T08:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T08:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T09:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T09:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T09:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T09:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T10:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T10:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T10:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T10:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T11:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T11:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T11:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T11:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T12:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T12:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T12:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T12:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T13:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T13:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T13:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T13:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T14:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T14:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
