,result,table,_start,_stop,_time,_value,Device_Name,Zone,_field,_measurement
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-21T06:53:45.435Z,1535,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-21T18:48:10.622Z,1807.1041666666667,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-22T06:42:35.809Z,1923,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-22T18:37:00.996Z,1923,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-23T06:31:26.183Z,1923,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-23T18:25:51.37Z,1923,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-24T06:20:16.557Z,1923,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-24T18:14:41.744Z,1923,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-25T06:09:06.931Z,1923,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-25T18:03:32.118Z,2163.8333333333335,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-26T05:57:57.305Z,2316,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-26T17:52:22.492Z,2489.851063829787,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-27T05:46:47.679Z,2590,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-27T17:41:12.866Z,2747.446808510638,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-28T05:35:38.053Z,2897,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-28T17:30:03.24Z,3069.553191489362,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-29T05:24:28.427Z,3145,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-29T17:18:53.614Z,3250.6041666666665,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-30T05:13:18.801Z,3557.9574468085107,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-04-30T17:07:43.988Z,3595,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-01T05:02:09.175Z,3595,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-01T16:56:34.362Z,3610.8297872340427,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-02T04:50:59.549Z,3890.3125,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-02T16:45:24.736Z,3921.6938775510203,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-03T04:39:49.923Z,4265.693877551021,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-03T16:34:15.11Z,4510.9375,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-04T04:28:40.297Z,5033.163265306122,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-04T16:23:05.484Z,5267.166666666667,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-05T04:17:30.671Z,5587.9375,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-05T16:11:55.858Z,5801.255319148936,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-06T04:06:21.045Z,6048,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-06T16:00:46.232Z,6062.510638297872,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-07T03:55:11.419Z,6334.958333333333,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-07T15:49:36.606Z,6430.5,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-08T03:44:01.793Z,6650.787234042553,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-08T15:38:26.98Z,6685.4375,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-09T03:32:52.167Z,6944.208333333333,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-09T15:27:17.354Z,7110.425531914893,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-10T03:21:42.541Z,7391.125,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-10T15:16:07.728Z,7648.625,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-11T03:10:32.915Z,8009.212765957447,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-11T15:04:58.102Z,8172.162790697675,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-12T02:59:23.289Z,8477.761904761905,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-12T14:53:48.476Z,8502.645833333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-13T02:48:13.663Z,8773.5625,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-13T14:42:38.85Z,8826.553191489362,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-14T02:37:04.037Z,9198.408163265307,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-14T14:31:29.224Z,9389.1875,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-15T02:25:54.411Z,9740.212765957447,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-15T14:20:19.598Z,10223.458333333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-16T02:14:44.785Z,10559.468085106382,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-16T14:09:09.972Z,10875.895833333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-17T02:03:35.159Z,11278.958333333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-17T13:58:00.346Z,11422.531914893618,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-18T01:52:25.533Z,11746.354166666666,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-18T13:46:50.72Z,11992.833333333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-19T01:41:15.907Z,12469.63829787234,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-19T13:35:41.094Z,12818.208333333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-20T01:30:06.281Z,13459.659574468085,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-20T13:24:31.468Z,13668.1875,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-21T01:18:56.655Z,14188.25,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-21T13:13:21.842Z,14346.234042553191,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-22T01:07:47.029Z,14583.734693877552,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-22T13:02:12.216Z,14674.958333333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-23T00:56:37.403Z,14845.382978723404,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-23T12:51:02.59Z,14976.1875,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-24T00:45:27.777Z,15600.08510638298,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-24T12:39:52.964Z,15933.25,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-25T00:34:18.151Z,16347.354166666666,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-25T12:28:43.338Z,16548.14893617021,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-26T00:23:08.525Z,16992.479166666668,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-26T12:17:33.712Z,17148.3125,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-05-27T00:11:58.899Z,17152,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-15T20:28:46.379Z,9705.130434782608,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-16T08:23:11.566Z,9832,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-16T20:17:36.753Z,10223.612244897959,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-17T08:12:01.94Z,10704.5,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-17T20:06:27.127Z,10982.916666666666,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-18T08:00:52.314Z,11483.530612244898,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-18T19:55:17.501Z,11788.021276595744,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-19T07:49:42.688Z,12007.645833333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-19T19:44:07.875Z,12261.808510638299,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-20T07:38:33.062Z,12609.395833333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-20T19:32:58.249Z,12611,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-21T07:27:23.436Z,12611,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-21T19:21:48.623Z,12627.6,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-22T07:16:13.81Z,12745,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-22T19:10:38.997Z,12745,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-23T07:05:04.184Z,12745,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-23T18:59:29.371Z,12745,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-24T06:53:54.558Z,12745,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-24T18:48:19.745Z,12814.836734693878,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-25T06:42:44.932Z,13076.851063829787,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-25T18:37:10.119Z,13096.673469387755,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-26T06:31:35.306Z,13122.6875,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-26T18:26:00.493Z,13209.166666666666,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-27T06:20:25.68Z,13571.041666666666,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-27T18:14:50.867Z,13643.0625,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-28T06:09:16.054Z,13734,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-28T18:03:41.241Z,13919.145833333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-29T05:58:06.428Z,14382.63829787234,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-29T17:52:31.615Z,14535.4375,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-30T05:46:56.802Z,14817,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-06-30T17:41:21.989Z,14920.574468085106,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-01T05:35:47.176Z,15235.208333333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-01T17:30:12.363Z,15324.083333333334,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-02T05:24:37.55Z,15548.63829787234,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-02T17:19:02.737Z,15672.125,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-03T05:13:27.924Z,15799.27659574468,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-03T17:07:53.111Z,15962.04347826087,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-04T05:02:18.298Z,16184.916666666666,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-04T16:56:43.485Z,16350.260869565218,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-05T04:51:08.672Z,16595.106382978724,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-05T16:45:33.859Z,16780.31914893617,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-06T04:39:59.046Z,17363.06976744186,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-06T16:34:24.233Z,17484.636363636364,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-07T04:28:49.42Z,17518.936170212764,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-07T16:23:14.607Z,17585.72340425532,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-08T04:17:39.794Z,17910.872340425532,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
,,1,2022-03-01T00:00:00Z,2022-08-26T14:31:07.495Z,2022-07-08T16:12:04.981Z,17974.82978723404,R611-Z1-ED1,1,active_energy_Wh,Power_Energy
